Year,Month,Day,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,S&P Close
1954,7,1,0.8,4.6,5.8,29.209999
1954,9,1,1.06,,6.1,30.040001
1954,10,1,0.85,8,5.7,32.290001
1954,11,1,0.83,,5.3,31.790001
1954,12,1,1.28,,5,33.990002
1955,2,1,1.29,,4.7,36.720001
1955,3,1,1.35,,4.6,36.830002
1955,4,1,1.43,6.7,4.7,36.950001
1955,6,1,1.64,,4.2,37.959999
1955,7,1,1.68,5.5,4,41.189999
1955,8,1,1.96,,4.2,42.93
1955,9,1,2.18,,4.1,43.369999
1955,11,1,2.35,,4.2,42.279999
1955,12,1,2.48,,4.2,45.349998
1956,2,1,2.5,,3.9,44.029999
1956,3,1,2.5,,4.2,45.540001
1956,5,1,2.75,,4.3,48.16
1956,6,1,2.71,,4.3,45.580002
1956,8,1,2.73,,4.1,49.619999
1956,10,1,2.96,6.7,3.9,44.700001
1956,11,1,2.88,,4.3,46.52
1957,2,1,3,,3.9,44.619999
1957,3,1,2.96,,3.7,43.740002
1957,4,1,3,-0.9,3.9,44.139999
1957,5,1,3,,4.1,46.02
1957,7,1,2.99,4,4.2,47.43
1957,8,1,3.24,,4.1,47.790001
1957,10,1,3.5,-4,4.5,42.759998
1957,11,1,3.28,,5.1,40.439999
1958,4,1,1.26,2.6,7.4,41.93
1958,5,1,0.63,,7.4,43.540001
1958,7,1,0.68,9.6,7.5,45.279999
1958,8,1,1.53,,7.4,47.490002
1958,10,1,1.8,9.7,6.7,49.98
1958,12,1,2.42,,6.2,52.689999
1959,4,1,2.96,10.1,5.2,55.689999
1959,5,1,2.9,,5.1,57.650002
1959,6,1,3.39,,5,58.630001
1959,7,1,3.47,-0.8,5.1,58.970001
1959,9,1,3.76,,5.5,58.869999
1959,10,1,3.98,1.6,5.7,56.939999
1959,12,1,3.99,,5.3,58.700001
1960,2,1,3.97,,4.8,55.959999
1960,3,1,3.84,,5.4,56.009998
1960,4,1,3.92,-1.5,5.2,55.43
1960,6,1,3.32,,5.4,55.889999
1960,7,1,3.23,1,5.5,57.060001
1960,8,1,2.98,,5.6,55.529999
1960,9,1,2.6,,5.5,57.09
1960,11,1,2.44,,6.1,53.939999
1960,12,1,1.98,,6.6,55.299999
1961,2,1,2.54,,6.9,61.900002
1961,3,1,2.02,,6.9,63.43
1961,5,1,1.98,,7.1,65.169998
1961,6,1,1.73,,6.9,66.559998
1961,8,1,2,,6.6,67.370003
1961,9,1,1.88,,6.7,68.190002
1961,11,1,2.61,,6.1,68.730003
1961,12,1,2.33,,6,71.779999
